ID,parent_ID,ItemPosition,ProductName,Quantity,Price
aaaaaaa1-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111111,10,Laptop,1,5000
aaaaaaa2-2222-2222-2222-222222222222,22222222-2222-2222-2222-222222222222,10,Phone,2,7000
aaaaaaa3-2222-2222-2222-222222222222,22222222-2222-2222-2222-222222222222,20,Headphones,1,1000
aaaaaaa4-3333-3333-3333-333333333333,33333333-3333-3333-3333-333333333333,10,Monitor,2,12000
aaaaaaa5-3333-3333-3333-333333333333,33333333-3333-3333-3333-333333333333,20,Keyboard,1,1000
aaaaaaa6-4444-4444-4444-444444444444,44444444-4444-4444-4444-444444444444,10,Tablet,2,18000
aaaaaaa7-5555-5555-5555-555555555555,55555555-5555-5555-5555-555555555555,10,Printer,1,32000
aaaaaaa8-6666-6666-6666-666666666666,66666666-6666-6666-6666-666666666666,10,Desktop PC,1,45000
aaaaaaa9-7777-7777-7777-777777777777,77777777-7777-7777-7777-777777777777,10,Router,2,12000
aaaaaa10-8888-8888-8888-888888888888,88888888-8888-8888-8888-888888888888,10,Scanner,1,27500
aaaaaa11-9999-9999-9999-999999999999,99999999-9999-9999-9999-999999999999,10,Projector,1,39000
aaaaaa12-aaaa-aaaa-aaaa-aaaaaaaaaaaa,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,10,Webcam,2,22000
aaaaaa13-bbbb-bbbb-bbbb-bbbbbbbbbbbb,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,10,UPS,1,16000
aaaaaa14-cccc-cccc-cccc-cccccccccccc,cccccccc-cccc-cccc-cccc-cccccccccccc,10,Server Rack,1,50000
aaaaaa15-dddd-dddd-dddd-dddddddddddd,dddddddd-dddd-dddd-dddd-dddddddddddd,10,External HDD,2,14000
